"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"115","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Atl_Blacknose_SAR.pdf",418,4,35,1,296,8,9,0,144,0,38,0,3,15,0,30,11,0,78,0,91
"116","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/B-8a-Gray_triggerfish_interim_9102020.pdf",24,0,6,0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,1,0,10
"117","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Dusky_update_report_2016.pdf",21,0,0,5,5,0,0,0,12,0,6,0,0,3,0,0,2,0,11,1,10
"118","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/KGM_GOM_SA_08282020_final-revision_3.pdf",25,0,5,3,8,0,7,0,76,19,1,1,0,5,2,34,71,5,4,0,4
"119","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S23_SAR_complete_and_final.pdf",112,11,77,1,11,1,3,0,205,0,43,0,2,14,0,107,118,0,24,0,38
"120","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S28UpdateSAR_V2.pdf",24,0,18,1,26,0,0,0,98,1,6,2,0,4,0,55,75,2,26,0,21
"121","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S34_ATSH_SAR.pdf",175,3,23,1,51,3,1,0,38,0,109,0,2,6,0,3,2,0,28,0,54
"122","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S51_FINAL_SAR_0.pdf",102,4,11,0,44,4,9,1,309,0,25,3,1,10,10,54,77,3,66,0,65
"123","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S52_Final_SAR_v2.pdf",71,3,25,1,78,1,1,0,84,24,17,7,1,0,2,79,90,13,48,0,17
"124","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S57_Final_SAR.pdf",55,1,29,1,23,0,4,0,193,0,8,0,1,11,0,24,13,31,62,0,25
"125","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S64_SAR_FINAL.pdf",120,5,36,0,81,3,7,0,320,18,17,2,4,34,2,69,125,0,61,1,78
"126","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S67_Final_SAR.pdf",105,1,32,1,89,4,1,0,144,0,16,18,1,8,2,108,131,6,30,0,29
"127","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S72_SAR_FINAL.pdf",53,2,34,0,64,2,1,0,169,9,13,1,1,15,0,218,227,1,103,0,98
"128","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SA BSB 2018.pdf",29,2,18,0,9,0,13,2,145,0,37,0,2,3,0,76,50,0,11,0,65
"129","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR_60_SA_Red_Porgy_SAR_4.9.2020.pdf",33,3,33,2,6,1,10,1,193,0,42,0,3,6,0,106,101,0,25,0,55
"130","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR65_FullSAR_12.8.2020_V3.pdf",302,3,30,0,79,0,11,0,125,0,166,35,3,49,0,13,2,0,45,1,84
"131","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SMA_ASS_ENG.pdf",136,0,9,0,69,0,1,0,11,0,1,1,3,5,0,6,3,1,9,0,12
"132","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/agenda-item-d-3.pdf",52,0,32,0,6,0,10,0,53,0,1,27,1,14,2,44,47,0,37,0,15
"133","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SAC-11-07-MTG_Yellowfin tuna benchmark assessment 2019.pdf",81,0,5,0,18,3,34,0,0,10,2,0,1,4,0,46,0,0,51,1,8
"134","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SC14-SA-WP-11 ISC18 Shortfin Mako Stock Assessment.pdf",163,0,4,0,110,0,0,0,2,0,3,14,0,12,1,6,2,1,9,0,9
"Sum",NA,NA,18453,238,4622,75,4969,1134,458,9,10611,319,859,908,299,1142,186,5840,3148,967,3117,135,3221
